Prompt,Prompt_Type,Prompt_Length,HCI_Application
Translate hello to Italian,Imperative,26,Real-Time Translation UI
Thank you,Conversational,9,Conversational UI
What's a Chinese word for sorry,Interrogative,31,Real-Time Translation UI
Who wrote The Odyssey,Interrogative,21,Knowledge Assistant
Goodbye,Declarative,7,Conversational UI
Convert hello from English to French,Declarative,36,Real-Time Translation UI
Tell me more,Declarative,12,Chatbot Interface
Nice to meet you,Declarative,16,Conversational UI
What happened in the Industrial Revolution,Interrogative,42,Knowledge Assistant
Find the answer to this problem,Imperative,31,Conversational UI
What is your name,Interrogative,17,Conversational UI
Please Who discovered the computer,Declarative,34,Knowledge Assistant
Suggest something,Declarative,17,Chatbot Interface
Tell me about enzymes,Declarative,21,Educational Bot
Tell me about the water cycle,Declarative,29,Educational Bot
Please What about math,Declarative,22,Code Rectification
Find the answer to my query,Imperative,27,Knowledge Assistant
Translate sorry to Dutch,Imperative,24,Real-Time Translation UI
What's up,Interrogative,9,Conversational UI
Show me information about history,Imperative,33,Graph Generation
What is cell division,Interrogative,21,Educational Bot
Give me 53 times 39,Declarative,19,Voice Calculator
Show me information about geography,Imperative,35,Code Rectification
Help me decide,Declarative,14,Chatbot Interface
Find the answer to that question please,Imperative,39,Code Rectification
Capital of Japan,Declarative,16,Location Services UI
Write HTML code for create a web page,Declarative,37,Code Generator
Find the result of 56 plus 26,Imperative,29,Voice Calculator
I need help with understanding,Declarative,30,Educational Bot
Nice to meet you,Declarative,16,Conversational UI
Suggest something,Declarative,17,Chatbot Interface
Correct this CSS code: <div class='btn' onclick='alert('hi')'>,Declarative,62,Code Rectification
Show me information about history,Imperative,33,Conversational UI
How does AI work,Interrogative,16,Educational Bot
I need help with research,Declarative,25,Code Generator
Find the answer to that question,Imperative,32,Real-Time Translation UI
Calculate 84 add 32,Imperative,19,Voice Calculator
What is the capital of Spain,Interrogative,28,Location Services UI
Generate code in Python to sort a list,Declarative,38,Code Generator
Who invented the computer,Interrogative,25,Knowledge Assistant
Recommend music,Declarative,15,Chatbot Interface
Graph temperature changes,Declarative,25,Graph Generation
Generate code in Python to a login API,Declarative,38,Code Generator
Create a HTML script that parse JSON,Declarative,36,Code Generator
What about science,Interrogative,18,Educational Bot
please help me in German,Declarative,24,Real-Time Translation UI
Create a chart showing user growth,Declarative,34,Graph Generation
Fix this code: try: pass except: pass,Declarative,37,Code Rectification
Visualize sales data as bar,Declarative,27,Graph Generation
Navigate to the library,Declarative,23,Location Services UI
Who invented the internet,Interrogative,25,Knowledge Assistant
Help with homework,Declarative,18,Real-Time Translation UI
Can you translate please help me into Italian,Declarative,45,Real-Time Translation UI
Write CSS code for compute factorial,Declarative,36,Code Generator
Show me downtown,Imperative,16,Location Services UI
Convert good morning from English to German,Declarative,43,Real-Time Translation UI
Solve 99 over 44,Imperative,16,Voice Calculator
Where is the mall,Interrogative,17,Location Services UI
Plot a graph for user growth thanks,Declarative,35,Graph Generation
Fix this code: <div class='btn' onclick='alert('hi')'>,Declarative,54,Code Rectification
I need suggestions for a book,Declarative,29,Chatbot Interface
What is the capital of Spain,Interrogative,28,Location Services UI
Graph stock prices,Declarative,18,Graph Generation
What can you do,Interrogative,15,Conversational UI
Create a chart showing stock prices,Declarative,35,Graph Generation
Fix this code: try: pass except: pass please,Declarative,44,Code Rectification
Generate code in Python to fetch data from API,Declarative,46,Code Generator
Describe blockchain thanks,Declarative,26,Educational Bot
Describe democracy,Declarative,18,Educational Bot
What is the capital of Spain,Interrogative,28,Location Services UI
Plot a graph for stock prices,Declarative,29,Graph Generation
find the answer to that question,Imperative,32,Knowledge Assistant
Help with homework,Declarative,18,Chatbot Interface
Create a HTML script that a login API,Declarative,37,Code Generator
What about technology,Interrogative,21,Voice Calculator
Correct this Python code: fetch(url).then(res => res.json,Declarative,57,Code Rectification
Share a story with me,Declarative,21,Chatbot Interface
Convert goodbye from English to French,Declarative,38,Real-Time Translation UI
Teach me cell division,Declarative,22,Educational Bot
Write Python code for handle errors,Declarative,35,Code Generator
Teach me climate change,Declarative,23,Educational Bot
Could you Create a chart showing sales data,Declarative,43,Graph Generation
goodbye in Italian,Declarative,18,Real-Time Translation UI
Who wrote The Odyssey,Interrogative,21,Knowledge Assistant
Information on science,Declarative,22,Knowledge Assistant
Show me information about technology,Imperative,36,Code Rectification
Describe the water cycle,Declarative,24,Educational Bot
Navigate to Paris,Declarative,17,Location Services UI
Solve square root of 60,Imperative,23,Voice Calculator
Give me 43 plus 20,Declarative,18,Voice Calculator
Plot a graph for sales data,Declarative,27,Graph Generation
Correct this JavaScript code: <div class='btn' onclick='alert('hi')'>,Declarative,69,Code Rectification
What happened in World War II,Interrogative,29,Knowledge Assistant
Could you Directions to the beach,Declarative,33,Location Services UI
How to fetch data from API in JavaScript,Interrogative,40,Code Generator
Create a chart showing stock prices,Declarative,35,Graph Generation
Create a chart showing stock prices,Declarative,35,Graph Generation
I need help with homework,Declarative,25,Location Services UI
Explain the solar system,Imperative,24,Educational Bot
Calculate 1 add 29,Imperative,18,Voice Calculator
98 squared equals what,Declarative,22,Voice Calculator
Fix this code: for i in range(10) print(i),Declarative,42,Code Rectification
What is AI,Interrogative,10,Educational Bot
Create a chart showing population growth,Declarative,40,Graph Generation
Tell me about the water cycle,Declarative,29,Educational Bot
What is your name,Interrogative,17,Conversational UI
How to handle errors in JavaScript,Interrogative,34,Code Generator
Create a chart showing population growth,Declarative,40,Graph Generation
Find the answer to that question,Imperative,32,Conversational UI
Teach me electricity,Declarative,20,Educational Bot
What is the capital of Australia,Interrogative,32,Location Services UI
Show me information about math,Imperative,30,Code Rectification
Graph sales data,Declarative,16,Graph Generation
Can you translate maybe into Dutch,Declarative,34,Real-Time Translation UI
Find the result of 48 over 49,Imperative,29,Voice Calculator
What happened in the Moon landing,Interrogative,33,Knowledge Assistant
Convert yes from English to Portuguese,Declarative,38,Real-Time Translation UI
Tell me something,Declarative,17,Conversational UI
I would like to learn something new,Declarative,35,Chatbot Interface
Plot a graph for sales data,Declarative,27,Graph Generation
Help with understanding,Declarative,23,Educational Bot
tell me something,Declarative,17,Conversational UI
Hey?,Conversational,4,Conversational UI
calculate 62 add 8,Imperative,18,Voice Calculator
Explain AI,Imperative,10,Educational Bot
What is your name,Interrogative,17,Conversational UI
Debug the following: button { color red; },Declarative,42,Code Rectification
I need help with homework,Declarative,25,Graph Generation
Could you Navigate to the beach,Declarative,31,Location Services UI
Fix this code: <div class='btn' onclick='alert('hi')'> thanks,Declarative,61,Code Rectification
What about geography,Interrogative,20,Chatbot Interface
Find the result of 88 plus 10,Imperative,29,Voice Calculator
Graph sales data?,Declarative,17,Graph Generation
Write Python code for create a web page please,Declarative,46,Code Generator
Create a chart showing stock prices,Declarative,35,Graph Generation
Show me information about technology,Imperative,36,Code Generator
Fix this code: for i in range(10) print(i),Declarative,42,Code Rectification
What is 50 add 16,Interrogative,17,Voice Calculator
Please Plot a graph for sales data,Declarative,34,Graph Generation
Compute 49 times 24,Declarative,19,Voice Calculator
What is the capital of India,Interrogative,28,Location Services UI
Show me information about science,Imperative,33,Code Generator
Create a chart showing population growth,Declarative,40,Graph Generation
What do you think about health,Interrogative,30,Chatbot Interface
I need suggestions for a movie,Declarative,30,Chatbot Interface
What happened in the Industrial Revolution,Interrogative,42,Knowledge Assistant
Tell me a quote,Declarative,15,Chatbot Interface
Graph sales data,Declarative,16,Graph Generation
Find the result of square root of 95,Imperative,36,Voice Calculator
Create a JavaScript script that a login API,Declarative,43,Code Generator
Directions to the airport,Declarative,25,Location Services UI
I would like to relax,Declarative,21,Chatbot Interface
Facts about the Titanic?,Declarative,24,Knowledge Assistant
